Zip,Lon,Lat,State,Pop
01532,-71.645053,42.320096,MA,14940
01534,-71.653185,42.148145,MA,5900
01535,-72.081628,42.267192,MA,4820
01536,-71.699339,42.227975,MA,7020
01537,-71.894821,42.169134,MA,1940
01540,-71.868002,42.115363,MA,11840
01541,-71.876773,42.451112,MA,3510
01542,-71.909511,42.199449,MA,2150
01543,-71.951369,42.377602,MA,8650
01545,-71.715469,42.284313,MA,36870
01550,-72.034334,42.074709,MA,17160
01560,-71.680472,42.174944,MA,4780
01562,-71.989136,42.244667,MA,11950
01564,-71.769296,42.437815,MA,8030
01566,-72.076089,42.109605,MA,6500
01568,-71.608581,42.170981,MA,7800
01569,-71.632662,42.072554,MA,13800
01570,-71.864617,42.047798,MA,16970
01571,-71.918107,42.049178,MA,11640
01581,-71.616729,42.267451,MA,19790
01583,-71.782817,42.356291,MA,8280
01585,-72.164234,42.228415,MA,4940
01588,-71.666031,42.117861,MA,10540
01590,-71.741507,42.14359,MA,9320
01602,-71.842683,42.270747,MA,23510
01603,-71.837839,42.244949,MA,20640
01604,-71.773903,42.253795,MA,35850
01605,-71.791238,42.289515,MA,26310
01606,-71.794653,42.312273,MA,21580
01607,-71.796326,42.230534,MA,8980
01608,-71.801268,42.26228,MA,3940
01609,-71.83159,42.288057,MA,22410
01610,-71.810315,42.248972,MA,24560
01611,-71.873085,42.236559,MA,2240
01612,-71.923289,42.307969,MA,5020
01701,-71.425908,42.319604,MA,32980
01702,-71.423946,42.282353,MA,38790
01719,-71.515564,42.485813,MA,5710
01720,-71.441826,42.481793,MA,23010
01721,-71.459093,42.255124,MA,18540
01730,-71.276766,42.495729,MA,13690
01731,-71.27916,42.454066,MA,1630
01740,-71.604523,42.435798,MA,5440
01741,-71.352482,42.529177,MA,5090
01742,-71.375385,42.457671,MA,18200
01745,-71.502013,42.293876,MA,240
01746,-71.436639,42.201226,MA,14620
01747,-71.536508,42.126346,MA,6060
01748,-71.533388,42.222032,MA,17500
01749,-71.559777,42.391437,MA,19980
01752,-71.54193,42.350584,MA,42010
01754,-71.453956,42.431677,MA,10810
01756,-71.549218,42.095045,MA,5910
01757,-71.525536,42.151083,MA,28900
01760,-71.357346,42.287535,MA,35220
01770,-71.378031,42.232493,MA,4320
01772,-71.530045,42.293389,MA,10110
01773,-71.312314,42.422708,MA,5570
01775,-71.513616,42.431133,MA,7180
01776,-71.427683,42.384953,MA,18620
01778,-71.357473,42.349366,MA,13860
01801,-71.156584,42.484384,MA,40590
01803,-71.199004,42.507557,MA,25320
01810,-71.15808,42.651346,MA,35240
01821,-71.251945,42.550586,MA,31920
01824,-71.357527,42.593211,MA,26040
01826,-71.318432,42.677412,MA,31490
01827,-71.500326,42.673533,MA,3470
01830,-71.071958,42.78633,MA,26630
01832,-71.111245,42.780037,MA,23150
01833,-70.979146,42.726262,MA,8500
01834,-71.023088,42.752944,MA,6760
01835,-71.084551,42.757963,MA,14250
01840,-71.161207,42.708423,MA,5580
01841,-71.166895,42.711636,MA,49230
01843,-71.159668,42.691215,MA,25660
01844,-71.179039,42.729437,MA,49800
01845,-71.104072,42.67949,MA,30370
01850,-71.304842,42.65625,MA,15750
01851,-71.333108,42.631792,MA,31840
01852,-71.298821,42.635079,MA,35600
01854,-71.336379,42.649349,MA,28700
01860,-71.00595,42.834974,MA,6580
01862,-71.29041,42.573317,MA,10840
01863,-71.387727,42.633932,MA,9290
01864,-71.091672,42.581009,MA,15590
01867,-71.108684,42.528371,MA,25620
01876,-71.223387,42.604854,MA,32000
01879,-71.420144,42.668185,MA,12170
01880,-71.067256,42.500359,MA,26970
01886,-71.437965,42.590114,MA,23610
01887,-71.172452,42.558039,MA,23520
01890,-71.143752,42.45313,MA,22550
01901,-70.944564,42.463034,MA,2390
01902,-70.941497,42.46991,MA,46570
01904,-70.962888,42.487957,MA,18570
01905,-70.972109,42.464709,MA,26700
01906,-71.011853,42.46411,MA,27450
01907,-70.908983,42.474694,MA,14390
01908,-70.927396,42.425884,MA,3510
01913,-70.937203,42.85558,MA,17350
01915,-70.873625,42.56141,MA,41420
01921,-71.010957,42.679068,MA,8230
01922,-70.929455,42.755401,MA,3250
01923,-70.944097,42.570318,MA,28270
01929,-70.783275,42.62928,MA,3690
01930,-70.672664,42.620883,MA,30090
01938,-70.853483,42.682002,MA,13840
01940,-71.033412,42.53196,MA,12460
01944,-70.767093,42.579446,MA,5300
01945,-70.865216,42.498179,MA,20280
01949,-71.010822,42.596849,MA,8810
01950,-70.886085,42.813172,MA,18020
01951,-70.845522,42.78708,MA,3760
01952,-70.85534,42.849659,MA,8640
01960,-70.960866,42.532674,MA,52500
01966,-70.620833,42.658211,MA,7150
01969,-70.907367,42.71522,MA,6260
01970,-70.9007,42.51404,MA,43030
01982,-70.854782,42.61823,MA,8000
01983,-70.950302,42.637791,MA,6920
01984,-70.871019,42.599068,MA,5300
01985,-70.978879,42.794581,MA,4600
02019,-71.476065,42.072841,MA,17000
02021,-71.132165,42.16475,MA,23840
02025,-70.813227,42.239786,MA,7860
02026,-71.165844,42.244168,MA,25580
02030,-71.283279,42.234607,MA,5980
02032,-71.217539,42.155677,MA,4690
02035,-71.241506,42.063582,MA,17850
02038,-71.405428,42.09176,MA,33290
02043,-70.892986,42.22439,MA,23190
02045,-70.87454,42.284794,MA,10520
02048,-71.211901,42.02184,MA,23950
02050,-70.700687,42.107373,MA,26850
02052,-71.302096,42.184715,MA,12380
02053,-71.425006,42.152406,MA,13260
02054,-71.36064,42.166622,MA,8090
02056,-71.326179,42.116597,MA,12000
02061,-70.821561,42.159643,MA,10660
02062,-71.202971,42.186635,MA,29780
02066,-70.754472,42.202691,MA,18590
02067,-71.176893,42.110421,MA,18230
02071,-71.273011,42.100137,MA,930
02072,-71.106464,42.124546,MA,28470
02081,-71.253472,42.144848,MA,19500
02090,-71.211133,42.216467,MA,15640
02093,-71.347073,42.057753,MA,11400
02108,-71.066487,42.35793,MA,4710
02109,-71.05386,42.362795,MA,4300
02110,-71.051095,42.359084,MA,1960
02111,-71.061897,42.351619,MA,9530
02113,-71.055168,42.365265,MA,7450
02114,-71.066477,42.362166,MA,13860
02115,-71.092199,42.342016,MA,30680
02116,-71.074761,42.349605,MA,22190
02118,-71.074209,42.339659,MA,30610
02119,-71.086349,42.322509,MA,27560
02120,-71.096454,42.33315,MA,19610
02121,-71.082358,42.307628,MA,28340
02122,-71.058247,42.297966,MA,25050
02124,-71.072816,42.288103,MA,52260
02125,-71.060697,42.316192,MA,35590
02126,-71.091118,42.275625,MA,22990
02127,-71.042918,42.333787,MA,37970
02128,-71.02879,42.378061,MA,45750
02129,-71.061698,42.377821,MA,18410
02130,-71.110617,42.312992,MA,39060
02131,-71.128181,42.283594,MA,32480
02132,-71.157107,42.278815,MA,27920
02134,-71.132485,42.353396,MA,24960
02135,-71.153665,42.346413,MA,46580
02136,-71.12298,42.256617,MA,36120
02138,-71.125045,42.376906,MA,38030
02139,-71.103994,42.36436,MA,38710
02140,-71.129393,42.391849,MA,20260
02141,-71.085426,42.370619,MA,13090
02142,-71.082922,42.363589,MA,3450
02143,-71.102012,42.38295,MA,26730
02144,-71.121708,42.400244,MA,24840
02145,-71.092025,42.390892,MA,28090
02148,-71.059657,42.429354,MA,63610
02149,-71.051113,42.411225,MA,43860
02150,-71.031623,42.396418,MA,40830
02151,-71.005128,42.414545,MA,56430
02152,-70.980297,42.37752,MA,19090
02155,-71.107244,42.416868,MA,59810
02169,-70.999215,42.248624,MA,59170
02170,-71.018584,42.267577,MA,19630
02171,-71.026523,42.282272,MA,18990
02176,-71.06247,42.457675,MA,28690
02180,-71.096845,42.482659,MA,22370
02184,-70.995788,42.208221,MA,37190
